id	time	speaker	text
252	2018-09-06 11:33:33.60	CMD	"and take a picture"
253	2018-09-06 11:33:35.80	DM->CMD	"processing. . ."
254	2018-09-06 11:33:40.06	DM->RN	"turn left 30 degrees"
255	2018-09-06 11:33:41.49	DM->RN	"then. . ."
256	2018-09-06 11:33:42.30	DM->CMD	"turning. . ."
257	2018-09-06 11:33:43.46	DM->RN	"send image"
258	2018-09-06 11:33:45.01	RN	"done and sent"
259	2018-09-06 11:33:45.59	DM->CMD	"done, sent"
260	2018-09-06 11:33:48.56	CMD	"turn left "
261	2018-09-06 11:33:51.28	CMD	"thirty degrees"
262	2018-09-06 11:33:52.24	CMD	"and take a picture"
263	2018-09-06 11:33:53.49	DM->CMD	"processing. . ."
264	2018-09-06 11:33:57.86	DM->RN	"turn left 30 degrees"
265	2018-09-06 11:33:58.92	DM->RN	"then. . ."
266	2018-09-06 11:33:59.71	DM->CMD	"turning. . ."
267	2018-09-06 11:34:00.51	DM->RN	"send image"
268	2018-09-06 11:34:03.37	RN	"done and sent"
269	2018-09-06 11:34:03.82	DM->CMD	"done, sent"
270	2018-09-06 11:34:09.93	CMD	"go forward two meters "
271	2018-09-06 11:34:11.68	CMD	"and go through the doorway on your left"
272	2018-09-06 11:34:16.21	DM->CMD	"processing. . ."
273	2018-09-06 11:34:20.20	DM->RN	"move into Kitchen"
274	2018-09-06 11:34:22.90	DM->CMD	"executing. . ."
275	2018-09-06 11:34:37.77	CMD	"take a picture"
276	2018-09-06 11:34:38.01	RN	"done"
277	2018-09-06 11:34:38.32	DM->CMD	"done"
278	2018-09-06 11:34:40.94	DM->RN	"send image"
279	2018-09-06 11:34:41.93	RN	"sent"
280	2018-09-06 11:34:42.24	DM->CMD	"sent"
281	2018-09-06 11:34:56.78	CMD	"go forward <pause .35> one meter"
282	2018-09-06 11:34:59.07	CMD	"and go through the doorway on your left "
283	2018-09-06 11:35:02.41	DM->CMD	"processing. . ."
284	2018-09-06 11:35:06.24	DM->RN	"move into Kitchen hallway"
285	2018-09-06 11:35:09.09	DM->CMD	"executing. . ."
286	2018-09-06 11:35:24.08	RN	"done"
287	2018-09-06 11:35:24.43	DM->CMD	"done"
288	2018-09-06 11:35:26.68	CMD	"turn <pause .76> right <pause .50> forty five degrees"
289	2018-09-06 11:35:29.77	CMD	"then take a picture"
290	2018-09-06 11:35:31.01	DM->CMD	"processing. . ."
291	2018-09-06 11:35:34.06	DM->RN	"turn right 45 degrees"
292	2018-09-06 11:35:35.51	DM->RN	"then. . ."
293	2018-09-06 11:35:36.44	DM->CMD	"turning. . ."
294	2018-09-06 11:35:37.64	DM->RN	"send image"
295	2018-09-06 11:35:39.98	RN	"done and sent"
296	2018-09-06 11:35:40.70	DM->CMD	"done, sent"
297	2018-09-06 11:35:48.98	CMD	"go forward two meters"
298	2018-09-06 11:35:53.30	DM->CMD	"processing. . ."
299	2018-09-06 11:35:56.78	DM->RN	"send image"
300	2018-09-06 11:36:00.46	DM->RN	"cancel command"
301	2018-09-06 11:36:06.79	DM->RN	"move forward 2 meters"
302	2018-09-06 11:36:09.52	DM->CMD	"moving. . ."
303	2018-09-06 11:36:14.06	RN	"done"
304	2018-09-06 11:36:14.42	DM->CMD	"done"
305	2018-09-06 11:36:16.01	CMD	"take a picture to the south"
306	2018-09-06 11:36:20.47	DM->CMD	"processing. . ."
307	2018-09-06 11:36:22.69	DM->RN	"turn to face South"
308	2018-09-06 11:36:24.06	DM->RN	"then. . ."
309	2018-09-06 11:36:25.35	DM->CMD	"turning. . ."
310	2018-09-06 11:36:26.59	DM->RN	"send image"
311	2018-09-06 11:36:30.61	RN	"done and sent"
312	2018-09-06 11:36:31.35	DM->CMD	"done, sent"
313	2018-09-06 11:36:45.21	CMD	"take a picture to the north"
314	2018-09-06 11:36:48.40	DM->CMD	"processing. . ."
315	2018-09-06 11:36:50.68	DM->RN	"turn to face North"
316	2018-09-06 11:36:51.90	DM->RN	"then. . ."
317	2018-09-06 11:36:52.89	DM->CMD	"turning. . ."
318	2018-09-06 11:36:54.59	DM->RN	"send image"
319	2018-09-06 11:37:04.10	RN	"done and sent"
320	2018-09-06 11:37:04.21	DM->CMD	"done, sent"
321	2018-09-06 11:37:07.94	CMD	"go forward one meter"
322	2018-09-06 11:37:12.26	DM->CMD	"processing. . ."
323	2018-09-06 11:37:17.59	DM->RN	"move forward 1 meter"
324	2018-09-06 11:37:19.81	DM->CMD	"moving. . ."
325	2018-09-06 11:37:23.10	RN	"done"
326	2018-09-06 11:37:23.12	CMD	"<no speech>"
327	2018-09-06 11:37:24.15	DM->CMD	"done"
328	2018-09-06 11:37:24.23	CMD	"take a picture to the west"
329	2018-09-06 11:37:27.94	DM->CMD	"processing. . ."
330	2018-09-06 11:37:30.77	DM->RN	"turn to face West"
331	2018-09-06 11:37:31.83	DM->RN	"then. . ."
332	2018-09-06 11:37:32.70	DM->CMD	"turning. . ."
333	2018-09-06 11:37:34.03	DM->RN	"send image"
334	2018-09-06 11:37:40.90	RN	"done and sent"
335	2018-09-06 11:37:41.46	DM->CMD	"done, sent"
336	2018-09-06 11:37:46.35	CMD	"<no speech>"
337	2018-09-06 11:37:48.10	CMD	"go south five meters <pause .85"
338	2018-09-06 11:37:49.86	CMD	"<no speech>"
339	2018-09-06 11:37:50.67	CMD	"turn left"
340	2018-09-06 11:37:55.25	DM->CMD	"How far should I turn to the left?  <beep>"
341	2018-09-06 11:37:57.77	CMD	"ninety degrees"
342	2018-09-06 11:37:59.90	DM->CMD	"processing. . ."
343	2018-09-06 11:38:02.85	DM->RN	"turn to face South"
344	2018-09-06 11:38:04.16	DM->RN	"then. . ."
345	2018-09-06 11:38:05.18	DM->CMD	"turning. . ."
346	2018-09-06 11:38:10.60	DM->RN	"move forward 5 meters"
347	2018-09-06 11:38:12.78	DM->RN	"then. . ."
348	2018-09-06 11:38:13.86	DM->CMD	"turning. . ."
349	2018-09-06 11:38:19.24	DM->RN	"turn left 90 degrees"
350	2018-09-06 11:38:24.95	DM->CMD	"turning. . ."
351	2018-09-06 11:38:32.81	RN	"done"
352	2018-09-06 11:38:33.34	DM->CMD	"done"
353	2018-09-06 11:38:37.09	CMD	"turn left ten degrees "
354	2018-09-06 11:38:38.25	CMD	"and take a picture"
355	2018-09-06 11:38:40.74	DM->CMD	"processing. . ."
356	2018-09-06 11:38:48.66	DM->RN	"turn left 10 degrees"
357	2018-09-06 11:38:49.74	DM->RN	"then. . ."
358	2018-09-06 11:38:50.74	DM->CMD	"turning. . ."
359	2018-09-06 11:38:51.95	DM->RN	"send image"
360	2018-09-06 11:38:53.37	RN	"done and sent"
361	2018-09-06 11:38:54.41	DM->CMD	"done, sent"
362	2018-09-06 11:39:12.22	CMD	"go forward <pause .30> three meters "
363	2018-09-06 11:39:14.03	CMD	"<no speech>"
364	2018-09-06 11:39:14.57	CMD	"and turn left "
365	2018-09-06 11:39:15.43	CMD	"and go through the doorway"
366	2018-09-06 11:39:18.67	DM->CMD	"processing. . ."
367	2018-09-06 11:39:25.10	DM->RN	"move into TV room"
368	2018-09-06 11:39:26.75	DM->CMD	"executing. . ."
369	2018-09-06 11:39:44.56	RN	"done"
370	2018-09-06 11:39:44.94	DM->CMD	"done"
371	2018-09-06 11:39:45.18	CMD	"take a picture"
372	2018-09-06 11:39:47.88	DM->RN	"send image"
373	2018-09-06 11:39:49.06	DM->CMD	"sent"
374	2018-09-06 11:39:49.39	RN	"sent"
375	2018-09-06 11:40:04.37	CMD	"face east "
376	2018-09-06 11:40:05.13	CMD	"and take a picture"
377	2018-09-06 11:40:07.70	DM->CMD	"processing. . ."
378	2018-09-06 11:40:10.74	DM->RN	"turn to face East"
379	2018-09-06 11:40:12.18	DM->RN	"then. . ."
380	2018-09-06 11:40:14.31	DM->CMD	"turning. . ."
381	2018-09-06 11:40:15.40	DM->RN	"send image"
382	2018-09-06 11:40:20.14	RN	"uh done and sent"
383	2018-09-06 11:40:21.03	DM->CMD	"done, sent"
384	2018-09-06 11:40:22.30	CMD	"face north "
385	2018-09-06 11:40:23.78	CMD	"go one meter forward"
386	2018-09-06 11:40:25.43	CMD	"and go through the doorway on your left"
387	2018-09-06 11:40:31.44	DM->CMD	"processing. . ."
388	2018-09-06 11:40:34.20	DM->RN	"move into TV hallway"
389	2018-09-06 11:40:39.89	DM->CMD	"executing. . ."
390	2018-09-06 11:40:56.70	RN	"done"
391	2018-09-06 11:40:58.04	CMD	"face north "
392	2018-09-06 11:40:58.20	DM->CMD	"done"
393	2018-09-06 11:40:58.52	CMD	"and take a picture"
394	2018-09-06 11:41:00.20	DM->CMD	"processing. . ."
395	2018-09-06 11:41:03.52	DM->RN	"turn to face North"
396	2018-09-06 11:41:04.96	DM->RN	"then. . ."
397	2018-09-06 11:41:05.85	DM->CMD	"turning. . ."
398	2018-09-06 11:41:06.84	DM->RN	"send image"
399	2018-09-06 11:41:09.35	RN	"done and sent"
400	2018-09-06 11:41:09.95	DM->CMD	"done, sent"
401	2018-09-06 11:41:15.41	CMD	"go forward two feet"
402	2018-09-06 11:41:16.59	CMD	"and go through the doorway on your right"
403	2018-09-06 11:41:20.98	DM->CMD	"processing. . ."
404	2018-09-06 11:41:23.19	DM->RN	"move into Dark room"
405	2018-09-06 11:41:25.71	DM->CMD	"executing. . ."
406	2018-09-06 11:41:40.50	RN	"done"
407	2018-09-06 11:41:40.95	DM->CMD	"done"
408	2018-09-06 11:42:10.12	CMD	"<no speech>"
409	2018-09-06 11:42:10.84	CMD	"i counted fifteen doorways"
410	2018-09-06 11:42:20.92	CMD	"i saw two"
411	2018-09-06 11:42:30.27	CMD	"i found a computer and a phone"
412	2018-09-06 11:42:32.54	CMD	"<X: mhm>"
413	2018-09-06 11:42:33.20	CMD	"and a tv monitor is also looks like it was an office environment "
414	2018-09-06 11:42:37.64	CMD	"<X: yes>"
415	2018-09-06 11:42:46.32	CMD	"okay"
416	2018-09-06 11:42:46.91	CMD	"sorry"
417	2018-09-06 11:42:47.32	CMD	"<no speech>"
418	2018-09-06 11:42:48.90	CMD	"<X: then the last uh question uh were last occupants speakers of english or a foreign language> "
419	2018-09-06 11:42:53.65	CMD	"um there were arabic signs throughout so i wa<disfl> and there was an arabic poster"
420	2018-09-06 11:43:00.22	CMD	"<X: very nice> "
421	2018-09-06 11:43:00.72	CMD	"<X: okay that's> "
422	2018-09-06 11:43:02.75	DM->CMD	"Great job, teammate!  Task complete.  <beep>"
